Heart,Intervention,NumClips,Pressure,FlowRate,AcrossAxisForceDiff,SLForce,APForce,ClipDistanceMax,ClipDistanceMin,ClipOrder,Treatment,AnnularArea,AnnularPerimeter,SLDiameter,APDiameter,CoaptationGapArea
1,Control,0,32.9923294754551,49.3303162742025,0,0,0,0,0,None,0,952.79773101763,111.890955657804,33.6431896522484,36.127956506293,12.0643958311754
2,Control,0,36.0996624246315,51.1271309867417,0,0,0,0,0,None,0,1296.52499450314,129.134323628768,38.6977268971355,40.6368786595062,9.15611233136835
3,Control,0,36.7018432784289,54.4807015333825,0,0,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
4,Control,0,35.169752837755,39.4791906594491,0,0,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
5,Control,0,36.973153642473,55.3355928237879,0,0,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
6,Control,0,37.6355324753326,53.8128140432983,0,0,0,0,0,None,0,1243.12704687161,128.258583249964,37.6824485782239,35.287473736844,12.830827244027
7,Control,0,34.017092166125,58.1529216853713,0,0,0,0,0,None,0,792.638545998201,105.351230056814,32.1644957050141,31.5978315105229,25.1530326047985
8,Control,0,36.987113984556,56.3742505783732,0,0,0,0,0,None,0,1009.49266798547,115.285716489858,35.5411543266456,28.2508075938575,13.3871978742161
9,Control,0,37.1532725856334,53.8158891273849,0,0,0,0,0,None,0,1245.47910674011,128.276217482125,36.1863631338837,35.9958204482913,8.90910898874361
10,Control,0,34.0597267141485,56.1132417095095,0,0,0,0,0,None,0,1631.74889559937,146.654438867013,44.6068838418478,37.4581984487037,10.2438959284776
11,Control,0,34.5621688884972,51.4925497882028,0,0,0,0,0,None,0,1281.3309411947,130.878104467544,36.2162170972778,41.240765982097,2.01512021399784
12,Control,0,36.5252322012335,55.0776626135344,0,0,0,0,0,None,0,1726.65431987869,150.646691566343,45.4137073719331,50.2491204912085,11.1079976427262
13,Control,0,37.1161475457919,50.3441536082599,0,0,0,0,0,None,0,1184.996614338,123.70142091416,40.5805976573718,37.0235049110002,2.60663274549799
1,AS,1,35.459799156618,25.4170024092993,-0.121267892206888,-0.430806909501294,-0.664070669989216,15.6501694658683,13.2175042873478,First,1,885.882278287191,108.192829077098,32.3473577506906,34.2434646350034,0.35603695702907
3,AS,1,39.90003174445,45.5157440483402,-0.0896451758978851,-0.502235622375744,-0.315108413107061,23.8274028911284,20.316714011063,Second,2,1566.26223620384,142.460727766046,44.0361535681948,36.834032424453,11.8255441479389
4,AS,1,39.0813524667082,28.2934657226979,-0.22057415508294,-0.559817335572016,-0.658510021274813,21.1388555560514,18.003711329372,First,1,1220.34952338733,126.670005148455,35.4101247758913,37.1826330400865,1.80342627656033
5,AS,1,38.0185217410563,31.5245847697335,-0.0707095243976424,-0.454177167146951,-0.529625686413969,18.9357308552034,16.0035154891962,First,1,978.783492128924,112.66586938675,34.083465666239,32.316834783954,8.27141609258448
9,AS,1,38.9235633044525,40.4594225576668,-0.00346252736518229,0.145750535700238,0.318958114409982,19.2648564646594,16.0838475405771,Third,7,1379.75322554658,135.803890603395,37.3770059229916,38.7348162963856,3.2965022321014
10,AS,1,34.2206582370781,50.9429432013059,-0.187146226959468,-0.755797930068054,-0.213367201155632,24.8775480630493,17.4762340843168,First,8,1389.36644953823,135.873512679376,40.937800189171,34.9383566955187,3.33444561988171
11,AS,1,34.721576689623,28.1706174031481,-0.0327529870584301,-0.0366267722157478,0.120481568347701,22.9610248799274,11.92640153726,Second,2,1326.00397885055,131.907022851232,35.6670430780229,44.1245991093213,0
12,AS,1,36.3830739783646,37.5367997685228,-0.147339699771411,-0.37628582358497,-0.119222235236117,15.4884958832974,14.5329364543818,First,8,732.55046485654,98.5727149862682,28.475182136655,33.0730167755771,1.95593232777207
13,AS,1,37.5227268716605,18.079887925175,-0.137665439193365,-0.295674098964537,-0.409764680676674,19.9347582246237,19.5218072133649,First,9,1156.55328513671,121.81861729978,39.4829841113305,37.2088523951431,0
2,AP,1,35.6933147561913,50.7825212192736,-0.0321528857086121,-0.108107872222178,-0.0767631686032969,22.1403529245475,17.5995279742528,First,3,1392.93739799343,133.270269551421,40.7851603481832,41.6859536551725,1.40160077975069
4,AP,1,40.8549549148299,34.0459612270781,-0.0839445186304178,-0.258970908734392,-0.3244214028269,24.1311976187996,17.7028233888875,Second,1,1492.19176531148,140.454251568931,38.5452941875791,41.2953670744392,6.58841849306233
5,AP,1,36.4846731713543,24.8071299840465,-0.0718896988483728,-0.188606685181091,-0.0189837664945519,18.7341958059715,14.9176411162891,Second,1,997.529577150636,114.269216069545,35.1362208267544,33.2351022996503,0
6,AP,1,37.9640615065826,29.8152702388013,-0.143283016492504,-0.464296021359815,-0.679891699230484,18.3437629099442,16.2538529671588,Second,6,1313.63543041886,131.43074692004,38.740785844207,37.0597363602548,5.92843182646333
7,AP,1,34.8076038207967,44.1545067018583,-0.0596376565213636,-0.421782994729676,-0.118662909266037,13.4020945260676,10.91584173466,Second,6,784.327644315129,101.976628595205,32.9810376862863,31.2387139926812,10.1690922433873
9,AP,1,36.9992073610174,51.2093672196243,-0.0753992069196884,0.0546488926131697,0.0405969264201406,22.2470984450525,16.4511952198226,Second,7,1357.71860312818,133.304150928089,37.8732326086889,37.8740461869656,10.6259085239426
10,AP,1,31.9986548401487,47.1965115982294,0.165072471186781,0.559614898488297,1.26930140657132,22.9884540925604,14.4078788587511,Second,8,1556.01784553772,142.677952274847,42.5928361915038,37.5756742698362,12.7403361330043
12,AP,1,35.634909276022,42.3260156839839,0.0286284336883865,0.110824703004293,0.275822127206485,26.7011717250502,12.420460107409,Second,8,1718.45965938488,149.778725427452,43.4394890169346,49.0458953489297,3.21743209070123
13,AP,1,35.4782568549213,33.2033405085761,-0.0094628100991394,0.41226539597317,0.0676342118473895,22.7292979183618,17.3400737592122,Third,9,1276.4467778909,128.288729855379,40.5486500610843,37.8126742623135,0
